size,version,time
100, naive, 0.005226
100, better, 0.003746
200, naive, 0.064865
200, better, 0.045947
300, naive, 0.252442
300, better, 0.132272
400, naive, 0.455146
400, better, 0.257719
500, naive, 1.183331
500, better, 0.493899
600, naive, 2.135593
600, better, 0.880924
700, naive, 4.137069
700, better, 1.391475
800, naive, 6.584611
800, better, 2.106419
900, naive, 7.875597
900, better, 2.969675
1000, naive, 25.378947
1000, better, 4.145353
100, naive, 0.004120
100, better, 0.003676
200, naive, 0.056832
200, better, 0.030740
300, naive, 0.150917
300, better, 0.108762
400, naive, 0.472128
400, better, 0.253973
500, naive, 1.782807
500, better, 0.497018
600, naive, 3.454159
600, better, 0.866432
700, naive, 3.333565
700, better, 1.495471
800, naive, 5.036077
800, better, 2.072446
900, naive, 7.476696
900, better, 3.418480
1000, naive, 20.261650
1000, better, 4.021216
100, naive, 0.004233
100, better, 0.003672
200, naive, 0.052398
200, better, 0.033596
300, naive, 0.150111
300, better, 0.105854
400, naive, 0.401191
400, better, 0.249116
500, naive, 1.267309
500, better, 0.482258
600, naive, 3.839337
600, better, 0.852621
700, naive, 6.278898
700, better, 1.453228
800, naive, 5.381796
800, better, 2.355332
900, naive, 7.288976
900, better, 2.965815
1000, naive, 15.613739
1000, better, 3.985176
100, naive, 0.004139
100, better, 0.003615
200, naive, 0.052008
200, better, 0.030776
300, naive, 0.139749
300, better, 0.101939
400, naive, 0.397553
400, better, 0.246839
500, naive, 1.638905
500, better, 0.481808
600, naive, 2.215277
600, better, 0.852426
700, naive, 3.271349
700, better, 1.366047
800, naive, 5.209541
800, better, 2.036882
900, naive, 7.148319
900, better, 2.959596
1000, naive, 24.920782
1000, better, 3.999448
100, naive, 0.004415
100, better, 0.003891
200, naive, 0.051807
200, better, 0.030949
300, naive, 0.145578
300, better, 0.106271
400, naive, 0.413805
400, better, 0.245178
500, naive, 1.293601
500, better, 0.506933
600, naive, 2.161883
600, better, 0.850810
700, naive, 3.432188
700, better, 1.350668
800, naive, 5.488740
800, better, 2.040692
900, naive, 7.939252
900, better, 3.115254
1000, naive, 11.641691
1000, better, 4.028471
100, naive, 0.004340
100, better, 0.003889
200, naive, 0.050456
200, better, 0.029979
300, naive, 0.143852
300, better, 0.104235
400, naive, 0.442192
400, better, 0.245209
500, naive, 1.453566
500, better, 0.482549
600, naive, 1.941533
600, better, 0.848335
700, naive, 3.205218
700, better, 1.368782
800, naive, 4.889134
800, better, 2.057585
900, naive, 7.073004
900, better, 2.918154
1000, naive, 23.921276
1000, better, 3.990166
100, naive, 0.004068
100, better, 0.003668
200, naive, 0.052217
200, better, 0.030617
300, naive, 0.143539
300, better, 0.102489
400, naive, 0.379769
400, better, 0.246153
500, naive, 1.673525
500, better, 0.517999
600, naive, 2.137686
600, better, 0.849145
700, naive, 3.990397
700, better, 1.358186
800, naive, 4.999042
800, better, 2.051058
900, naive, 7.375005
900, better, 2.929799
1000, naive, 20.967989
1000, better, 4.031568
100, naive, 0.004120
100, better, 0.004337
200, naive, 0.053746
200, better, 0.031618
300, naive, 0.145522
300, better, 0.104918
400, naive, 0.433585
400, better, 0.247406
500, naive, 0.981672
500, better, 0.480164
600, naive, 1.989820
600, better, 0.875005
700, naive, 5.059802
700, better, 1.359314
800, naive, 4.869970
800, better, 2.481234
900, naive, 8.719199
900, better, 3.119369
1000, naive, 23.936592
1000, better, 4.040997
100, naive, 0.004296
100, better, 0.003943
200, naive, 0.052814
200, better, 0.029731
300, naive, 0.140106
300, better, 0.103058
400, naive, 0.423869
400, better, 0.246085
500, naive, 1.603740
500, better, 0.486823
600, naive, 3.341975
600, better, 0.843575
700, naive, 3.230659
700, better, 1.354715
800, naive, 5.115448
800, better, 2.058274
900, naive, 7.923768
900, better, 2.957616
1000, naive, 25.126914
1000, better, 4.006517
100, naive, 0.004421
100, better, 0.003736
200, naive, 0.052372
200, better, 0.030263
300, naive, 0.141331
300, better, 0.107059
400, naive, 0.431916
400, better, 0.246773
500, naive, 1.494392
500, better, 0.514724
600, naive, 3.295336
600, better, 0.864300
700, naive, 3.401952
700, better, 1.373239
800, naive, 7.644449
800, better, 2.071423
900, naive, 7.273657
900, better, 2.971495
1000, naive, 22.333772
1000, better, 4.015195
100, gsl, 0.001658
200, gsl, 0.006673
300, gsl, 0.022555
400, gsl, 0.053065
500, gsl, 0.118113
600, gsl, 0.229537
700, gsl, 0.419867
800, gsl, 0.645843
900, gsl, 0.933644
1000, gsl, 1.313691
100, gsl, 0.000830
200, gsl, 0.008536
300, gsl, 0.022060
400, gsl, 0.053433
500, gsl, 0.112704
600, gsl, 0.236062
700, gsl, 0.424238
800, gsl, 0.656144
900, gsl, 0.943585
1000, gsl, 1.275579
100, gsl, 0.000726
200, gsl, 0.006610
300, gsl, 0.022823
400, gsl, 0.054010
500, gsl, 0.112929
600, gsl, 0.228492
700, gsl, 0.420555
800, gsl, 0.659982
900, gsl, 0.928509
1000, gsl, 1.299866
100, gsl, 0.000854
200, gsl, 0.006606
300, gsl, 0.023258
400, gsl, 0.055126
500, gsl, 0.119014
600, gsl, 0.233529
700, gsl, 0.429338
800, gsl, 0.656612
900, gsl, 0.937315
1000, gsl, 1.312009
100, gsl, 0.000822
200, gsl, 0.006940
300, gsl, 0.022786
400, gsl, 0.054966
500, gsl, 0.117406
600, gsl, 0.222661
700, gsl, 0.412472
800, gsl, 0.641045
900, gsl, 0.946521
1000, gsl, 1.278511
100, gsl, 0.000781
200, gsl, 0.006867
300, gsl, 0.023877
400, gsl, 0.052908
500, gsl, 0.113799
600, gsl, 0.225719
700, gsl, 0.423698
800, gsl, 0.639057
900, gsl, 0.932961
1000, gsl, 1.279926
100, gsl, 0.000859
200, gsl, 0.007259
300, gsl, 0.022298
400, gsl, 0.054266
500, gsl, 0.117887
600, gsl, 0.227918
700, gsl, 0.414150
800, gsl, 0.669591
900, gsl, 0.945551
1000, gsl, 1.286939
100, gsl, 0.000792
200, gsl, 0.006844
300, gsl, 0.023164
400, gsl, 0.059597
500, gsl, 0.106339
600, gsl, 0.232411
700, gsl, 0.416175
800, gsl, 0.641909
900, gsl, 0.949706
1000, gsl, 1.281246
